Date,Open,High,Low,Close
2/25/2022 16:00,4379.25,4384.25,4377.75,4380.5
2/25/2022 15:00,4363.5,4381.75,4354,4379.25
2/25/2022 14:00,4369.75,4379,4353.25,4363.5
2/25/2022 13:00,4362.25,4380.25,4351.5,4369.75
2/25/2022 12:00,4370.75,4376,4356.5,4362.5
2/25/2022 11:00,4337,4371.5,4327,4370.75
2/25/2022 10:00,4288,4342.75,4281.25,4337.25
2/25/2022 9:00,4303.75,4315,4285.25,4287.75
2/25/2022 8:00,4292.75,4317.5,4284.5,4303.75
2/25/2022 7:00,4255.5,4298.25,4252.25,4293
2/25/2022 6:00,4257.75,4269,4238.75,4255.75
2/25/2022 5:00,4252.5,4266,4249.5,4257.75
2/25/2022 4:00,4236.5,4259,4229.5,4252.5
2/25/2022 3:00,4253,4253.5,4227.5,4236.5
2/25/2022 2:00,4259.25,4266.25,4244,4253
2/25/2022 1:00,4257.25,4263.5,4254,4259.25
2/25/2022 0:00,4263.25,4264.25,4254.75,4257.5
2/24/2022 23:00,4266.5,4272.5,4260,4263.5
2/24/2022 22:00,4256.5,4269,4251.25,4266.5
2/24/2022 21:00,4262.5,4264.25,4251.5,4256.5
2/24/2022 20:00,4263.5,4271.5,4253.25,4262.5
2/24/2022 19:00,4261.75,4278.5,4258.75,4263.5
2/24/2022 18:00,4266.75,4269.75,4254.25,4261.75
2/24/2022 16:00,4283,4286.75,4262.5,4269.25
2/24/2022 15:00,4237,4290,4231.75,4283
2/24/2022 14:00,4191.5,4240,4180.5,4237
2/24/2022 13:00,4165.25,4216.75,4159.25,4191.5
2/24/2022 12:00,4189,4190,4155.25,4165
2/24/2022 11:00,4172.75,4197,4163,4189
2/24/2022 10:00,4158.75,4183.5,4133.25,4172.75
2/24/2022 9:00,4116.5,4162,4108.75,4159
2/24/2022 8:00,4119.5,4130,4103,4116.5
2/24/2022 7:00,4135.75,4136,4110.25,4119.25
2/24/2022 6:00,4131.5,4137.75,4110.25,4135.75
2/24/2022 5:00,4137.25,4149.75,4125.25,4131.25
2/24/2022 4:00,4145.5,4164,4135.75,4137.25
2/24/2022 3:00,4118.5,4149.75,4113.5,4145.75
2/24/2022 2:00,4124.25,4135,4101.75,4118.5
2/24/2022 1:00,4137.75,4150,4116.75,4124.5
2/24/2022 0:00,4142.5,4145,4125.5,4137.25
2/23/2022 23:00,4124,4145,4118.75,4142
2/23/2022 22:00,4181.5,4184.75,4116.5,4124
2/23/2022 21:00,4204.75,4206.75,4180,4182
2/23/2022 20:00,4191,4209.5,4183.5,4204.5
2/23/2022 19:00,4218,4223,4190.75,4191
2/23/2022 18:00,4215.5,4224.5,4208.75,4217.75
2/23/2022 16:00,4223.75,4227.25,4212.5,4215
2/23/2022 15:00,4238.25,4241.75,4216.25,4223.75
2/23/2022 14:00,4263.75,4269,4232.75,4238.5
2/23/2022 13:00,4282.75,4283,4253,4263.75
2/23/2022 12:00,4291,4305.5,4279.25,4282.75
2/23/2022 11:00,4284.5,4294.25,4268.25,4291
2/23/2022 10:00,4314.5,4314.75,4279.75,4284.25
2/23/2022 9:00,4334.25,4336.5,4313.25,4314.75
2/23/2022 8:00,4333.75,4337.5,4325.25,4334
2/23/2022 7:00,4317.5,4335,4315.75,4333.5
2/23/2022 6:00,4331,4332.75,4315.5,4317.5
2/23/2022 5:00,4335.25,4337.75,4324.75,4331
2/23/2022 4:00,4337.25,4345.5,4333.5,4335
2/23/2022 3:00,4323,4338,4318.25,4337.25
2/23/2022 2:00,4316.25,4326.75,4312,4323.25
2/23/2022 1:00,4321.25,4326.5,4316.25,4316.25
2/23/2022 0:00,4324.75,4327.75,4320,4321
2/22/2022 23:00,4321,4325,4318.75,4324.5
2/22/2022 22:00,4314.25,4321.25,4310.25,4321
2/22/2022 21:00,4319.25,4322.5,4311.5,4314
2/22/2022 20:00,4324.75,4325,4312,4319.25
2/22/2022 19:00,4324.5,4326.75,4321.75,4324.75
2/22/2022 18:00,4310.75,4327.5,4309,4324.5
2/22/2022 16:00,4300.5,4319.75,4300.5,4312.25
2/22/2022 15:00,4313.5,4332,4284,4300.75
2/22/2022 14:00,4275.25,4320.75,4261.5,4313.5
2/22/2022 13:00,4298,4304.25,4270.75,4275.25
2/22/2022 12:00,4315,4322.75,4295.25,4298.25
2/22/2022 11:00,4320.5,4328,4307.5,4315.25
2/22/2022 10:00,4346,4358.75,4319.75,4320.5
2/22/2022 9:00,4336.75,4356.5,4308.25,4345.75
2/22/2022 8:00,4342,4342.5,4328,4336.75
2/22/2022 7:00,4333.5,4349.75,4325.25,4341.75
2/22/2022 6:00,4336.75,4341.25,4323,4333.5
2/22/2022 5:00,4291.5,4350.5,4290.25,4337.25
2/22/2022 4:00,4295.25,4300.5,4284.75,4291.75
2/22/2022 3:00,4261.5,4296.5,4260,4295.25
2/22/2022 2:00,4275.5,4284,4261.5,4261.75
2/22/2022 1:00,4279.5,4289,4268.5,4275.5
2/22/2022 0:00,4276,4285,4275.5,4279.75
2/21/2022 23:00,4266.75,4278,4266.75,4276.25
2/21/2022 22:00,4271.75,4272.25,4261.25,4266.75
2/21/2022 21:00,4271.25,4279,4266.25,4271.5
2/21/2022 20:00,4282.25,4284.75,4269.5,4271.5
2/21/2022 19:00,4273.25,4288.25,4262.75,4282.25
2/21/2022 18:00,4266.25,4276.75,4250,4273.5
2/21/2022 12:00,4299,4304.75,4285.25,4289.5
2/21/2022 11:00,4313,4313.25,4291,4299
2/21/2022 10:00,4313,4327.5,4304.5,4313
2/21/2022 9:00,4314.75,4330.5,4308,4313.25
2/21/2022 8:00,4319.75,4324.25,4299.5,4314.75
2/21/2022 7:00,4334.25,4334.75,4309,4319.5
2/21/2022 6:00,4345.25,4348.5,4324.25,4334.5
2/21/2022 5:00,4348.5,4352.75,4341.5,4344.5
2/21/2022 4:00,4365.75,4365.75,4347,4349
2/21/2022 3:00,4379.25,4382.25,4360.5,4366
2/21/2022 2:00,4382.25,4391.25,4377.75,4379.25
2/21/2022 1:00,4370.25,4385.5,4369.25,4382
2/21/2022 0:00,4366.75,4371,4365.25,4370.25
2/20/2022 23:00,4360.5,4368,4358.75,4366.75
2/20/2022 22:00,4368.75,4371.75,4358.75,4360.25
2/20/2022 21:00,4366.75,4371.75,4362.25,4368.75
2/20/2022 20:00,4350.25,4374,4337.5,4367
