Date,BFCIUS Index,PCUSEQTR Index,OPCVTPCR Index,TRADCADS Index,SUM INX Index,SPXVOLC Index,RVOL Index,COR3M Index,CMDIBASS Index,EUR Curncy,MOVE Index,OPCVTOTC Index,OPCVNQP Index,GFSIFFND Index,GFSIRMKT Index,GFSIRSOL Index,GFSIRLIQ Index,NWHLNYHI Index,NWHLNDHI Index,TRADPAUS Index,HFRXED Index,NEIXCTA Index,HFRXEH Index,NQBUY Index,H15X10YR Index
4/14/2022,0.047,0.5,0.797,85853,373.93,2457.7,16.49,42.11,319.12,1.0828,119.66,22116.93,1371.189,0.43,0.51,0.24,0.17,118,93,41.87,,2875.768,,,-0.06
4/13/2022,-0.047,0.51,0.652,86017,413.56,2155,16.05,39.21,318.87,1.0888,116.33,23187.75,1120.206,0.46,0.51,0.25,0.17,80,78,42.09,1747.15,2867.045,1490.68,1793.001,-0.1
4/12/2022,-0.101,0.52,0.743,85711,411.29,2201.9,17.39,41.92,315.41,1.0828,117.79,20430.83,1174.989,0.51,0.55,0.25,0.17,71,80,39.37,1742.09,2860.703,1482.32,1774.447,-0.14
4/11/2022,-0.087,0.55,0.899,85815,503.25,2324.22,18.87,40.91,316.43,1.0884,129.87,18522.42,1237.571,0.52,0.58,0.23,0.17,63,60,39.08,1743.92,2848.821,1485.37,1776.482,-0.12
4/8/2022,0.048,0.57,0.749,86086,614.59,2238.47,18.04,36.22,323.68,1.0877,124.86,21060.35,1147.71,0.51,0.53,0.2,0.16,99,69,39.73,1740.88,2838.28,1490.63,1800.17,-0.15
4/7/2022,-0.023,0.6,0.765,86053,671.75,2585.9,18.64,36.37,320.41,1.0879,122.67,20153.26,1228.753,0.49,0.55,0.17,0.19,56,62,40.24,1739.68,2814.346,1490.78,1796.461,-0.16
4/6/2022,-0.05,0.6,0.852,86006,720.05,2710.42,18.63,37.46,324.98,1.0896,123.92,22397.33,1493.009,0.49,0.55,0.16,0.16,61,64,41.4,1745.03,2810.843,1488.83,1792.822,-0.22
4/5/2022,0.186,0.58,0.802,86071,770.39,2392.99,20.37,37.02,325.17,1.0905,116.37,17958.1,1167.752,0.5,0.47,0.1,0.14,92,73,42.27,1747.08,2814.145,1493.19,1796.512,-0.3
4/4/2022,0.028,0.48,0.645,86279,746.06,2265.58,20.07,32.65,324.61,1.0972,108.37,20211.279,1043.4,0.5,0.42,0.07,0.22,65,71,46.25,1745.74,2788.113,1496.36,1821.178,-0.38
4/1/2022,-0.085,0.59,0.769,86273,598.15,2334.35,22.34,35.96,323.7,1.1043,108.34,22135.369,1328.444,0.52,0.49,0.11,0.21,86,76,45,1744.82,2774.708,1492.9,1825.728,-0.41
3/31/2022,-0.123,0.55,0.782,86105,445.82,2630.91,22.5,36.06,324.98,1.1067,106.88,19471.699,1233.383,0.53,0.53,0.12,0.2,82,83,45.26,1736.87,2763.054,1490.41,1811.837,-0.52
3/30/2022,-0.101,0.42,0.719,86470,329.13,2067.98,22.82,34.57,322.76,1.1159,112.98,22071.42,1266.833,0.54,0.56,0.17,0.17,89,65,47.78,1740.89,2782.385,1493.98,1836.635,-0.51
