DATE,UMCSENT,UMCSENT_CHG,PCE,PCE_CHG
01-01-78,83.7,0,1336,0
02-01-78,84.3,0.007168459,1329.5,-0.004865269
03-01-78,78.8,-0.065243179,1355.1,0.019255359
04-01-78,81.6,0.035532995,1377.5,0.016530145
05-01-78,82.9,0.015931373,1396.4,0.013720508
06-01-78,80,-0.034981906,1412,0.011171584
07-01-78,82.4,0.03,1425.8,0.009773371
08-01-78,78.4,-0.048543689,1426.8,0.000701361
09-01-78,80.4,0.025510204,1447,0.014157555
10-01-78,79.3,-0.013681592,1452.9,0.004077402
11-01-78,75,-0.054224464,1466.9,0.009635901
12-01-78,66.1,-0.118666667,1480.6,0.009339423
01-01-79,72.1,0.090771558,1496.5,0.01073889
02-01-79,73.9,0.024965326,1502.4,0.003942533
03-01-79,68.4,-0.074424899,1517.8,0.010250266
04-01-79,66,-0.035087719,1531.2,0.008828568
05-01-79,68.1,0.031818182,1538.4,0.004702194
06-01-79,65.8,-0.033773862,1558.8,0.01326053
07-01-79,60.4,-0.082066869,1575.7,0.010841673
08-01-79,64.5,0.067880795,1586.1,0.006600241
09-01-79,66.7,0.034108527,1615.6,0.01859908
10-01-79,62.1,-0.068965517,1633.9,0.011327061
11-01-79,63.3,0.019323671,1641.6,0.004712651
12-01-79,61,-0.036334913,1657.3,0.00956384
01-01-80,67,0.098360656,1666.3,0.00543052
02-01-80,66.9,-0.001492537,1697.3,0.018604093
03-01-80,56.5,-0.155455904,1701.4,0.002415601
04-01-80,52.7,-0.067256637,1708.2,0.003996709
05-01-80,51.7,-0.018975332,1695.2,-0.00761035
06-01-80,58.7,0.135396518,1700.1,0.002890514
07-01-80,62.3,0.06132879,1718.8,0.010999353
08-01-80,67.3,0.080256822,1747.1,0.016464976
09-01-80,73.7,0.095096582,1763.8,0.009558697
10-01-80,75,0.017639077,1780.5,0.009468194
11-01-80,76.7,0.022666667,1817.1,0.020556024
12-01-80,64.5,-0.159061278,1826.8,0.005338176
01-01-81,71.4,0.106976744,1851.7,0.013630392
02-01-81,66.9,-0.06302521,1870,0.00988281
03-01-81,66.5,-0.005979073,1884.2,0.007593583
04-01-81,72.4,0.088721805,1902.9,0.009924636
05-01-81,76.3,0.053867403,1904.4,0.000788271
06-01-81,73.1,-0.041939712,1913.8,0.004935938
07-01-81,74.1,0.013679891,1934.5,0.010816177
08-01-81,77.2,0.041835358,1942.1,0.003928664
09-01-81,73.1,-0.053108808,1966.6,0.01261521
10-01-81,70.3,-0.038303694,1965.5,-0.000559341
11-01-81,62.5,-0.110953058,1963.9,-0.000814042
12-01-81,64.3,0.0288,1970.6,0.003411579
01-01-82,71,0.104199067,1988.8,0.009235766
02-01-82,66.5,-0.063380282,1997.1,0.004173371
03-01-82,62,-0.067669173,2021.2,0.012067498
04-01-82,65.5,0.056451613,2024.1,0.001434791
05-01-82,67.5,0.030534351,2026.3,0.001086903
06-01-82,65.7,-0.026666667,2044.5,0.008981888
07-01-82,65.4,-0.00456621,2048.1,0.001760822
08-01-82,65.4,0,2072.2,0.011767004
09-01-82,69.3,0.059633028,2080.1,0.003812373
10-01-82,73.4,0.059163059,2104.6,0.01177828
11-01-82,72.1,-0.017711172,2125.8,0.010073173
12-01-82,71.9,-0.002773925,2149.3,0.011054662
01-01-83,70.4,-0.020862309,2161.6,0.005722793
02-01-83,74.6,0.059659091,2174,0.005736491
03-01-83,80.8,0.08310992,2177,0.001379945
04-01-83,89.1,0.102722772,2202.8,0.011851171
