Date,Open,High,Low,Close,,,,,,,,,,,,,,,,
2/25/2022 16:00,27.29,27.5,27.1,27.35,,,,,,,,,,,,,,,,
2/25/2022 15:00,27.45,27.8,27.15,27.25,,,,,,,,,,,,,,,,
2/25/2022 14:00,27.3,27.7,27.05,27.45,,,,,,,,,,,,,,,,
2/25/2022 13:00,27.3,27.6,27,27.35,,,,,,,,,,,,,,,,
2/25/2022 12:00,27.4,27.56,26.82,27.3,,,,,,,,,,,,,,,,
2/25/2022 11:00,27.8,27.9,27.35,27.45,,,,,,,,,,,,,,,,
2/25/2022 10:00,28.75,28.95,27.6,27.78,,,,,,,,,,,,,,,,
2/25/2022 9:00,28.25,28.83,28.05,28.8,,,,,,,,,,,,,,,,
2/25/2022 8:00,28.55,28.7,27.95,28.23,,,,,,,,,,,,,,,,
2/25/2022 7:00,29.42,29.45,28.49,28.6,,,,,,,,,,,,,,,,
2/25/2022 6:00,29.4,29.85,29.15,29.45,,,,,,,,,,,,,,,,
2/25/2022 5:00,29.6,29.7,29.2,29.4,,,,,,,,,,,,,,,,
2/25/2022 4:00,30.2,30.3,29.54,29.65,,,,,,,,,,,,,,,,
2/25/2022 3:00,29.7,30.44,29.6,30.25,,,,,,,,,,,,,,,,
2/25/2022 2:00,29.35,29.9,29.24,29.7,,,,,,,,,,,,,,,,
2/25/2022 1:00,29.35,29.4,29.2,29.35,,,,,,,,,,,,,,,,
2/25/2022 0:00,29.15,29.4,29.1,29.3,,,,,,,,,,,,,,,,
2/24/2022 23:00,29,29.2,28.85,29.1,,,,,,,,,,,,,,,,
2/24/2022 22:00,29.25,29.45,28.9,29,,,,,,,,,,,,,,,,
2/24/2022 21:00,29.1,29.4,29.1,29.25,,,,,,,,,,,,,,,,
2/24/2022 20:00,29.09,29.35,28.85,29.1,,,,,,,,,,,,,,,,
2/24/2022 19:00,29.4,29.4,28.5,29.15,,,,,,,,,,,,,,,,
2/24/2022 18:00,28.79,29.6,28.79,29.4,,,,,,,,,,,,,,,,
2/24/2022 16:00,28.6,29,28.6,28.96,,,,,,,,,,,,,,,,
2/24/2022 15:00,29,29.15,28.44,28.6,,,,,,,,,,,,,,,,
2/24/2022 14:00,30.8,31.05,28.85,29.05,,,,,,,,,,,,,,,,
2/24/2022 13:00,31.92,32.05,30.24,30.8,,,,,,,,,,,,,,,,
2/24/2022 12:00,31.45,32.35,31.4,31.95,,,,,,,,,,,,,,,,
2/24/2022 11:00,31.6,32.1,31.14,31.45,,,,,,,,,,,,,,,,
2/24/2022 10:00,31.6,32.45,31.3,31.55,,,,,,,,,,,,,,,,
2/24/2022 9:00,32.8,33.25,31.2,31.6,,,,,,,,,,,,,,,,
2/24/2022 8:00,32.85,33.35,32.45,32.77,,,,,,,,,,,,,,,,
2/24/2022 7:00,32.6,33.35,32.55,32.85,,,,,,,,,,,,,,,,
2/24/2022 6:00,33.05,33.55,32.5,32.55,,,,,,,,,,,,,,,,
2/24/2022 5:00,32.8,33.35,32.4,33.05,,,,,,,,,,,,,,,,
2/24/2022 4:00,32.3,32.85,31.9,32.85,,,,,,,,,,,,,,,,
2/24/2022 3:00,33.15,33.25,32.1,32.35,,,,,,,,,,,,,,,,
2/24/2022 2:00,33.1,34.05,32.8,33.15,,,,,,,,,,,,,,,,
2/24/2022 1:00,32.4,33.2,32.15,33.05,,,,,,,,,,,,,,,,
2/24/2022 0:00,32.15,32.75,32.15,32.35,,,,,,,,,,,,,,,,
2/23/2022 23:00,32.5,32.85,32.05,32.15,,,,,,,,,,,,,,,,
