"","SPY","VXX"
"2018-01-25",264.326904,110.639999
"2018-01-26",267.387268,110.639999
"2018-01-29",265.614471,118.32
"2018-01-30",262.890045,122.199997
"2018-01-31",263.020691,122.599998
"2018-02-01",262.722076,116.428001
"2018-02-02",257.002686,131.399994
"2018-02-05",246.25412,175.440002
"2018-02-06",251.105896,172.464005
"2018-02-07",249.743713,178.160004
"2018-02-08",240.376099,220.720001
"2018-02-09",243.986877,201.119995
"2018-02-12",247.569733,194.199997
"2018-02-13",248.185501,191.880005
"2018-02-14",251.535126,169.919998
"2018-02-15",254.744705,166
"2018-02-16",254.819382,168.479996
"2018-02-20",253.223862,175.360001
"2018-02-21",251.964264,178
"2018-02-22",252.290863,175.679993
"2018-02-23",256.312195,161.960007
"2018-02-26",259.288544,157.119995
"2018-02-27",256.050934,169.639999
"2018-02-28",253.457153,176.639999
"2018-03-01",249.771729,188.800003
"2018-03-02",251.05925,180.479996
"2018-03-05",253.960953,173.839996
"2018-03-06",254.604828,174.759995
"2018-03-07",254.511459,172.160004
"2018-03-08",255.743088,170.360001
"2018-03-09",260.193573,153
"2018-03-12",259.867035,159.039993
"2018-03-13",258.187653,162.839996
"2018-03-14",256.862701,166.399994
"2018-03-15",256.582733,161.759995
"2018-03-16",256.861023,157.199997
"2018-03-19",253.385605,173.479996
"2018-03-20",253.816483,170.160004
"2018-03-21",253.329361,163.960007
"2018-03-22",246.996918,188.800003
"2018-03-23",241.732208,200
"2018-03-26",248.34584,185.199997
"2018-03-27",244.121017,199.119995
"2018-03-28",243.399628,200.380005
"2018-03-29",246.50972,196
"2018-04-02",241.18895,207.360001
"2018-04-03",244.280289,198.479996
"2018-04-04",246.893799,194.720001
"2018-04-05",248.842316,189.479996
"2018-04-06",243.296616,199.199997
"2018-04-09",244.495712,199.199997
"2018-04-10",248.383194,199.199997
"2018-04-11",247.081207,199.199997
"2018-04-12",249.113968,192.360001
"2018-04-13",248.383194,183.919998
"2018-04-16",250.425415,174.600006
"2018-04-17",253.104568,161.199997
"2018-04-18",253.291992,162.240005
"2018-04-19",251.886826,163.880005
"2018-04-20",249.750946,168.440002
"2018-04-23",249.713547,166.399994
"2018-04-24",246.350555,166.360001
"2018-04-25",246.959381,178.199997
"2018-04-26",249.469925,169.839996
"2018-04-27",249.704086,165.699997
"2018-04-30",247.783783,164.080002
"2018-05-01",248.22406,169.440002
"2018-05-02",246.55658,159.039993
"2018-05-03",246.013275,172
"2018-05-04",249.198273,161.199997
"2018-05-07",250.041351,159
"2018-05-08",250.041351,159
"2018-05-09",252.458206,155.160004
"2018-05-10",254.818848,146.839996
"2018-05-11",255.596313,143.320007
"2018-05-14",255.718155,139.119995
"2018-05-15",253.957047,149.199997
"2018-05-16",255.024841,144.259995
"2018-05-17",254.809494,140.679993
"2018-05-18",254.172516,141.679993
"2018-05-21",256.083435,136
"2018-05-22",255.371536,136.968002
"2018-05-23",256.074097,135.919998
"2018-05-24",255.549515,136.720001
"2018-05-25",254.940659,135.279999
"2018-05-29",252.00853,153.679993
"2018-05-30",255.371536,146.240005
"2018-05-31",253.807175,147.759995
"2018-06-01",256.29895,140.520004
"2018-06-04",257.516663,140.520004
"2018-06-05",257.704102,136.080002
"2018-06-06",259.858673,129.759995
"2018-06-07",259.830536,131.279999
"2018-06-08",260.598724,129.720001
"2018-06-11",260.945343,128.320007
"2018-06-12",261.282562,127.919998
"2018-06-13",260.448822,128.559998
"2018-06-14",261.104553,125.087997
"2018-06-15",260.771454,126.480003
"2018-06-18",260.235168,124.996002
"2018-06-19",259.237701,131.356003
"2018-06-20",259.679871,128.360001
"2018-06-21",258.052032,136.839996
"2018-06-22",258.522522,133.279999
"2018-06-25",255.003372,152.399994
"2018-06-26",255.567917,146.160004
"2018-06-27",253.450684,154
"2018-06-28",254.899841,156.800003
"2018-06-29",255.2668,147.679993
"2018-07-02",255.812576,150.960007
"2018-07-03",254.909195,150.960007
"2018-07-05",256.988739,144.639999
"2018-07-06",259.162384,137.460007
"2018-07-09",261.495941,129.919998
"2018-07-10",262.43692,127.160004
"2018-07-11",260.517395,131.360001
"2018-07-12",262.879211,128
"2018-07-13",263.086212,126.916
"2018-07-16",262.850983,124.959999
"2018-07-17",263.914307,122.879997
"2018-07-18",264.469513,122.239998
"2018-07-19",263.472107,124.800003
"2018-07-20",263.170929,125.068001
"2018-07-23",263.660248,126.239998
"2018-07-24",264.986938,122.959999
"2018-07-25",267.245331,121.839996
"2018-07-26",266.614929,122.160004
"2018-07-27",264.808258,126.160004
"2018-07-30",263.425018,128.520004
"2018-07-31",264.723541,125.519997
"2018-08-01",264.281342,124
"2018-08-02",265.721008,122.720001
"2018-08-03",266.859467,120.559998
"2018-08-06",267.838135,117.071999
"2018-08-07",268.722626,114.239998
"2018-08-08",268.609741,112.127998
"2018-08-09",268.242737,114.120003
"2018-08-10",266.445526,119.839996
"2018-08-13",265.44812,126.800003
"2018-08-14",267.141785,120.400002
"2018-08-15",265.147003,127.919998
"2018-08-16",267.292419,120.919998
"2018-08-17",268.233368,117.959999
"2018-08-20",268.807343,115.519997
"2018-08-21",269.437805,117.839996
"2018-08-22",269.277893,115.800003
"2018-08-23",268.920258,116.120003
"2018-08-24",270.538727,115.440002
"2018-08-27",272.674805,115.599998
"2018-08-28",272.806458,115.720001
"2018-08-29",274.274414,114.599998
"2018-08-30",273.164032,118.040001
"2018-08-31",273.173462,118.760002
"2018-09-04",272.703003,117.120003
"2018-09-05",271.968994,117.839996
"2018-09-06",271.150391,121.440002
"2018-09-07",270.623413,123.239998
"2018-09-10",271.093903,119.919998
"2018-09-11",271.987823,116.400002
"2018-09-12",272.05365,114.879997
"2018-09-13",273.662781,111.760002
"2018-09-14",273.709839,109.400002
"2018-09-17",272.260712,112.800003
"2018-09-18",273.738129,112.199997
"2018-09-19",274.029724,108.32
"2018-09-20",276.250397,106.559998
"2018-09-21",275.997955,106.264
"2018-09-24",275.081177,106.68
"2018-09-25",274.825958,107.68
"2018-09-26",274.003601,108
"2018-09-27",274.769226,106.959999
"2018-09-28",274.797607,106.800003
"2018-10-01",275.752319,105.599998
"2018-10-02",275.591644,105.599998
"2018-10-03",275.742859,104.800003
"2018-10-04",273.587708,111.199997
"2018-10-05",272.056427,112.959999
"2018-10-08",272.056427,114.559998
"2018-10-09",271.659454,116.32
"2018-10-10",263.057892,135.800003
"2018-10-11",257.26358,147.440002
"2018-10-12",260.836639,136.279999
"2018-10-15",259.371399,137.080002
"2018-10-16",265.042755,128.320007
"2018-10-17",265.090149,129.839996
"2018-10-18",261.261902,139.399994
"2018-10-19",261.120117,137.080002
"2018-10-22",259.947998,138.320007
"2018-10-23",258.624695,143.559998
"2018-10-24",250.788757,154.639999
"2018-10-25",255.288055,151.440002
"2018-10-26",250.798187,159.960007
"2018-10-29",249.408691,161.360001
"2018-10-30",253.104538,155.240005
"2018-10-31",255.807922,150.320007
"2018-11-01",258.530212,145.479996
"2018-11-02",256.998932,146.639999
"2018-11-05",258.416748,145.240005
"2018-11-06",260.052063,140.320007
"2018-11-07",265.619385,130.600006
"2018-11-08",265.137329,130
"2018-11-09",262.547394,132.932007
"2018-11-12",257.641632,144.240005
"2018-11-13",257.159607,145.320007
"2018-11-14",255.401459,149.080002
"2018-11-15",258.066986,147.520004
"2018-11-16",258.738159,140.759995
"2018-11-19",254.36174,149
"2018-11-20",249.654449,157.320007
"2018-11-21",250.505157,153.639999
"2018-11-23",248.832108,154.960007
"2018-11-26",252.849335,146.199997
"2018-11-27",253.700027,143.600006
"2018-11-28",259.541565,139.360001
"2018-11-29",258.974396,141.880005
"2018-11-30",260.552979,137.880005
"2018-12-03",264.003052,130.399994
"2018-12-04",255.448746,147.360001
"2018-12-06",255.061188,151.160004
"2018-12-07",249.134598,161.279999
"2018-12-10",249.607224,159.720001
"2018-12-11",249.66394,159.748001
"2018-12-12",250.921066,158.479996
"2018-12-13",250.835953,156.039993
"2018-12-14",246.204391,162.399994
"2018-12-17",241.374237,170.360001
"2018-12-18",241.109558,171.160004
"2018-12-19",237.498764,170.559998
"2018-12-20",233.632782,179.240005
"2018-12-21",228.845764,188.279999
"2018-12-24",222.798996,197.720001
"2018-12-26",234.055878,187.240005
"2018-12-27",235.852798,195.160004
"2018-12-28",235.548523,194.839996
"2018-12-31",237.611679,187.960007
"2019-01-02",237.858871,182.960007
"2019-01-03",232.182907,190.559998
"2019-01-04",239.960052,175.440002
"2019-01-07",241.852051,171.520004
"2019-01-08",244.124313,168.039993
"2019-01-09",245.265244,164.080002
"2019-01-10",246.130402,162.360001
"2019-01-11",246.225525,157.080002
"2019-01-14",244.723282,157.520004
"2019-01-15",247.528015,150.679993
"2019-01-16",248.126999,153.720001
"2019-01-17",250.009491,152
"2019-01-18",253.337143,148.240005
"2019-01-22",249.914398,161.279999
"2019-01-23",250.437302,160.399994
"2019-01-24",250.570419,154.720001
"2019-01-25",252.690598,148.919998
"2019-01-28",250.770142,155.080002
"2019-01-29",250.437302,154.639999
"2019-01-30",254.401917,147.839996
"2019-01-31",256.6362,141.720001
"2019-02-01",256.759766,140.360001
"2019-02-04",258.566254,136
"2019-02-05",259.650116,134.839996
"2019-02-06",259.3078,134.119995
"2019-02-07",256.835846,138.600006
"2019-02-08",257.149597,136.919998
"2019-02-11",257.292267,135.440002
"2019-02-12",260.600861,133
"2019-02-13",261.446991,132.679993
"2019-02-14",260.867065,135.080002
"2019-02-15",263.709808,130.360001
"2019-02-19",264.166138,130.759995
"2019-02-20",264.698578,125.519997
"2019-02-21",263.757355,127.160004
"2019-02-22",265.392639,122.360001
"2019-02-25",265.753906,124.559998
"2019-02-26",265.563782,125.599998
"2019-02-27",265.449677,125.720001
"2019-02-28",264.955261,125.639999
"2019-03-01",266.609619,119.919998
"2019-03-04",265.639801,122.839996
"2019-03-05",265.278534,123.559998
"2019-03-06",263.671722,127.199997
"2019-03-07",261.466003,132.039993
"2019-03-08",260.943085,132.919998
"2019-03-11",264.727081,123.239998
"2019-03-12",265.725403,119.760002
"2019-03-13",267.484283,118.480003
"2019-03-14",267.313171,116.519997
"2019-03-15",268.633789,114.360001
"2019-03-18",269.60788,114.639999
"2019-03-19",269.674713,115.400002
