Date,BFCIUS Index,PCUSEQTR Index,OPCVTPCR Index,TRADCADS Index,SUM INX Index,SPXVOLC Index,RVOL Index,COR3M Index,CMDIBASS Index,EUR Curncy,MOVE Index,OPCVTOTC Index,OPCVNQP Index,GFSIFFND Index,GFSIRMKT Index,GFSIRSOL Index,GFSIRLIQ Index,NWHLNYHI Index,NWHLNDHI Index,TRADPAUS Index,HFRXED Index,NEIXCTA Index,HFRXEH Index,NQBUY Index,H15X10YR Index
3/31/2017,0.2949,0.56,0.9752,49591,1984.14,1992.84,6.56,35.82,179.7595,1.0652,60.6987,7282.375,576.205,0.12,-0.6,-0.1,0.3,68,108,66.4362,1610.6801,2182.3506,1186.63,1067.147,0.43
4/3/2017,0.272,0.67,0.9289,49405,2053.6101,2181.21,6.57,36.06,179.1596,1.067,61.228,6941.5542,568.2174,0.14,-0.62,-0.08,0.33,65,87,64.6465,1608.4301,2181.0166,1184.03,1065.855,0.39
4/4/2017,0.3053,0.62,0.9334,49389,2109.4399,1818.51,6.51,34.34,177.078,1.0674,64.7657,6246.8892,465.8476,0.12,-0.61,-0.09,0.32,46,47,64.396,1609.27,2182.2175,1183.3,1066.425,0.4
4/5/2017,0.2714,0.61,0.8716,49251,2104.28,2102.79,6.52,35.68,179.8864,1.0663,63.7153,9486.3428,799.0985,0.12,-0.61,-0.1,0.31,77,74,62.1737,1612.79,2178.2258,1182.54,1064.319,0.37
4/6/2017,0.298,0.66,0.908,49486,2170.8401,1934.22,6.53,34.42,180.9724,1.0644,68.2529,6883.2012,579.4201,0.1,-0.58,-0.11,0.3,49,37,64,1615.09,2178.8994,1184.38,1070.115,0.39
4/7/2017,0.3124,0.67,0.9437,49382,2213.8501,1728.97,6.53,35.31,177.3112,1.0591,68.6602,7505.2402,658.3235,0.1,-0.57,-0.11,0.31,54,63,63.7187,1613.46,2182.6577,1184.27,1071.684,0.44
4/10/2017,0.3287,0.62,0.8879,49501,2296.26,1596.51,6.43,37.74,176.865,1.0596,68.4973,6901.0991,504.7046,0.11,-0.55,-0.09,0.35,55,77,65.6899,1614.54,2173.2253,1184.49,1073.531,0.44
4/11/2017,0.239,0.79,0.993,49492,2395.6299,1817.45,6.45,37.71,175.8029,1.0605,70.5585,8336.7988,726.3931,0.1,-0.49,-0.06,0.35,75,70,66.9157,1612.8101,2172.0986,1183.4399,1075.811,0.41
4/12/2017,0.1687,0.69,0.9902,49275,2418.9199,1897.7,6.46,38.49,174.4351,1.0665,73.4226,7257.7681,635.3309,0.08,-0.45,-0.05,0.35,69,66,64.1026,1610.63,2168.7092,1182.48,1072.024,0.38
4/13/2017,0.1388,0.96,1.0303,48895,2369.9299,1761.92,6.22,41.97,173.5774,1.0613,74.4847,8648.2695,795.7798,0.07,-0.44,-0.04,0.37,44,36,60.3633,1606.65,2170.5132,1180.0601,1065.764,0.32
4/17/2017,0.237,0.63,0.8962,49328,2394.1499,1623.96,6.86,37.78,,1.0643,70.9568,6765.2461,538.8887,0.07,-0.44,-0.05,0.36,62,43,63.738,1609.27,2175.2083,1182.65,1076.228,0.38
4/18/2017,0.1907,0.62,0.8605,49235,2401.8799,1902.5601,6.92,36.45,173.2309,1.073,72.8666,7951.0562,581.5253,0.06,-0.43,-0.02,0.33,83,45,62.5,1612.34,2156.2253,1180.35,1075.729,0.33
4/19/2017,0.2021,0.7,0.943,49253,2391.0901,1944.6899,6.93,39.62,171.8994,1.0711,73.1268,8712.7031,643.8147,0.03,-0.45,-0.05,0.28,80,87,61.6489,1613.0601,2150.2249,1180.67,1077.257,0.36
4/20/2017,0.2043,0.68,0.9947,49549,2438.55,2088.9299,5.99,35.4,173.4135,1.0717,73.8561,9488.4648,783.119,0.03,-0.45,-0.07,0.3,101,126,64.32,1613.6899,2161.3201,1184.74,1083.959,0.39
4/21/2017,0.2086,0.67,1.0417,49375,2459.8401,2068.6101,6.05,36.44,172.9787,1.0728,77.1537,10000.0996,844.4023,0.02,-0.41,-0.07,0.32,83,104,62.8937,1614.51,2163.2148,1184.09,1083.031,0.4
4/24/2017,0.4557,0.61,0.9357,49733,2532.3501,2247.76,7.13,30.27,172.9677,1.0868,63.2709,9338.4219,734.5371,-0.03,-0.68,-0.18,0.27,191,197,64.8217,1613.02,2172.6177,1191.71,1095.3669,0.41
4/25/2017,0.5224,0.61,0.7963,49993,2639.02,2301.6499,7.44,29.71,173.7836,1.0926,62.3632,10781.8301,756.2921,-0.08,-0.68,-0.21,0.24,238,227,67.0043,1617.71,2167.4917,1196.28,1099.985,0.44
4/26/2017,0.52,0.63,0.8075,49982,2744.49,2218.3,7.43,30.7,175.4906,1.0904,60.9543,8917.9365,676.4238,-0.14,-0.71,-0.19,0.26,238,231,67.5719,1622.46,2172.4648,1196.22,1098.49,0.42
4/27/2017,0.4899,0.72,0.8609,50029,2825.99,2201.76,7,30.25,175.2527,1.0873,59.8191,8353.0049,618.8888,-0.16,-0.73,-0.19,0.28,217,193,66.08,1621.99,2179.7798,1194.88,1103.166,0.39
4/28/2017,0.4832,0.68,1.0446,49813,2852.4399,2238.6299,7.03,33.11,175.439,1.0895,60.1925,8218.1494,643.379,-0.17,-0.75,-0.2,0.28,100,120,63.5733,1621.89,2179.5703,1195.15,1096.139,0.37
5/1/2017,0.5559,0.62,0.8171,49778,2886.75,1890.23,7.02,32.13,,1.0899,59.3993,7465.5459,527.7441,-0.14,-0.74,-0.2,0.29,99,155,63.3458,1621.37,2174.1045,1196.05,1099.109,0.41
5/2/2017,0.5531,0.61,0.7847,49862,2908.3899,2367.49,6.97,31.61,175.6521,1.093,60.324,8227.8584,510.0615,-0.13,-0.74,-0.21,0.24,124,150,62.8328,1623.72,2185.3315,1198.76,1096.47,0.41
5/3/2017,0.6025,0.69,0.9068,49773,2889.5601,2267.3301,6.97,33.62,173.5947,1.0886,59.384,8178.376,593.6417,-0.14,-0.74,-0.22,0.23,79,90,60.777,1621.25,2180.5256,1196.15,1090.235,0.46
5/4/2017,0.66,0.77,0.9739,49838,2822.6101,2235.3701,6.97,32.8,171.5892,1.0985,60.0804,8545.7227,604.2523,-0.14,-0.72,-0.23,0.22,111,117,58.9267,1624.8101,2189.175,1196.26,1091.33,0.5
5/5/2017,0.6426,0.64,0.8957,50078,2822.7,1793.46,7.03,32.06,171.2627,1.0998,58.7242,8941.3076,618.6625,-0.16,-0.74,-0.25,0.22,145,132,61.1496,1629.36,2182.124,1199.5601,1099.995,0.5
5/8/2017,0.7301,0.6,0.8176,49953,2799.97,1842.72,6.99,29.89,169.6791,1.0924,55.4105,7858.207,495.8772,-0.16,-0.82,-0.25,0.21,110,137,59.9255,1632.02,2178.9846,1197.39,1097.6899,0.53
5/9/2017,0.7187,0.63,0.7336,49923,2751.6299,1853.49,6.98,29.59,170.5596,1.0874,55.2203,9422.751,523.0148,-0.18,-0.81,-0.25,0.2,115,130,59.6594,1634.8199,2179.5667,1196.8,1097.014,0.56
5/10/2017,0.723,0.62,0.697,50054,2746.45,1977,6.99,31.06,170.3906,1.0868,55.0298,9620.3555,502.8544,-0.19,-0.83,-0.27,0.19,90,144,61.1289,1635.25,2173.9622,1197.86,1101.46,0.56
5/11/2017,0.6689,0.65,0.8924,49876,2698.53,2018.26,7.01,32.15,172.272,1.0861,54.467,8693.6563,613.296,-0.19,-0.85,-0.26,0.22,62,106,59.3085,1634.37,2175.1018,1195.48,1096.9611,0.51
5/12/2017,0.631,0.57,0.873,49695,2630.52,1786.51,6.91,31.17,170.769,1.0931,55.7115,8959.7744,581.298,-0.18,-0.88,-0.24,0.23,52,89,58.049,1631.53,2184.3621,1194.14,1093.084,0.49
5/15/2017,0.6697,0.55,0.7512,50005,2638.4199,1890.83,6.72,29.15,171.8394,1.0975,56.7293,8898.8408,478.9971,-0.17,-0.87,-0.26,0.21,106,155,59.2751,1634.51,2183.9526,1196.9,1101.51,0.52
5/16/2017,0.6738,0.54,0.7836,49900,2622.4299,2035.51,6.02,29.18,171.0321,1.1083,55.4971,9012.9717,541.2923,-0.21,-0.86,-0.27,0.19,130,145,58.1074,1636.55,2181.4817,1197.2,1101.548,0.51
5/17/2017,0.4022,0.73,1.1032,49555,2513.1001,2712.1299,8.61,38.06,171.9355,1.1159,62.5769,12706.5,1149.8979,-0.18,-0.73,-0.22,0.21,34,34,53.1983,1635.3199,2156.6384,1188.3199,1080.077,0.44
5/18/2017,0.4632,0.7,1.0209,49688,2414.8,2307.28,8.68,35.42,169.5545,1.1103,58.9788,10595.5801,933.8647,-0.16,-0.74,-0.2,0.23,28,52,52.8754,1631.48,2147.3223,1188.3199,1083.8101,0.43
5/19/2017,0.5723,0.62,0.9474,50029,2397.9299,2247.5801,8.58,32.14,172.7259,1.1206,57.8248,10779.25,952.1847,-0.14,-0.79,-0.23,0.2,71,85,56.2001,1635.5699,2147.5852,1193.55,1093.8719,0.41
5/22/2017,0.6498,0.54,0.7535,50325,2430.6201,1848.5601,8.7,29.33,174.8038,1.1237,55.4739,8051.7959,526.1482,-0.13,-0.82,-0.25,0.23,110,110,57.3946,1637.79,2146.8755,1192.89,1100.959,0.43
5/23/2017,0.6897,0.6,0.8892,50399,2479.0701,1765.4301,7.86,29.15,174.0996,1.1183,55.7728,6984.8242,519.9553,-0.13,-0.84,-0.26,0.21,103,92,57.8807,1637.65,2150.9236,1192.13,1103.934,0.46
5/24/2017,0.7369,0.62,0.9175,50534,2533.1499,1794.72,7.61,27.65,174.0083,1.1219,54.4058,7164.959,523.6428,-0.13,-0.88,-0.26,0.22,95,109,58.1333,1638.9301,2151.8245,1192.52,1107.863,0.45
5/25/2017,0.7619,0.59,0.875,50749,2579.02,2005.16,7.77,27.1,174.0059,1.121,54.3201,9210.6748,668.7195,-0.13,-0.92,-0.26,0.22,171,146,57.3177,1637.55,2169.8867,1191.46,1112.5601,0.45
5/26/2017,0.7639,0.64,0.9408,50760,2618.1399,1523.25,7.76,27.2,174.2124,1.1183,54.0528,6979.729,536.655,-0.13,-0.89,-0.26,0.22,109,102,57.5013,1636.99,2168.228,1191.24,1111.439,0.44
5/30/2017,0.7167,0.68,0.8846,50708,2608.7,1768.39,7.74,28.13,173.3527,1.1186,53.4909,6516.7852,460.1597,-0.13,-0.88,-0.24,0.25,92,108,56.32,1633.67,2173.1445,1188.08,1108.26,0.4
5/31/2017,0.746,0.63,0.9768,50791,2592.3799,2606.49,7.69,27.69,171.9838,1.1244,53.9509,7575.7261,597.0574,-0.12,-0.87,-0.24,0.25,137,113,55.3067,1636.98,2180.4004,1188.36,1109.865,0.4
6/1/2017,0.7877,0.66,0.899,51184,2666.8201,2151.47,8.15,26.46,172.4272,1.1213,53.9973,8024.4722,556.5812,-0.13,-0.89,-0.26,0.24,201,161,58.9524,1638.8101,2193.3386,1193.67,1120.736,0.4
