"","XLK","XLV","XLY","XLF","XLI","XLP","XLU","XLB","XLE","XLRE"
"2016-01-04",39.048378,64.160652,71.487434,16.964558,46.834759,42.746861,35.74707,38.155636,46.962597,24.997675
"2016-01-05",38.94677,64.469078,71.394371,17.02989,46.960136,43.021255,36.003647,38.137768,47.141727,25.755156
"2016-01-06",38.466396,63.94294,70.696449,16.768559,46.234772,42.875492,35.937447,37.137913,45.327084,25.506491
"2016-01-07",37.330143,62.645744,69.244736,16.296711,44.981068,42.360981,35.697418,36.12912,44.221161,25.038713
"2016-01-08",37.034527,61.702354,68.500259,16.042646,44.524361,42.035137,35.680866,35.763084,43.652626,24.710443
"2016-01-11",37.274719,60.967594,69.040001,16.064423,44.55122,42.429577,35.87122,35.156029,42.718056,24.85816
"2016-01-12",37.718132,61.747704,69.803085,16.187824,44.909439,42.661114,35.730522,35.209595,42.819298,24.587339
"2016-01-13",36.701962,59.915325,67.448708,15.766799,43.825871,41.880772,35.713966,34.397205,41.791264,24.332932
"2016-01-14",37.394802,61.520931,67.93261,15.904722,44.345268,42.078011,36.251957,34.861423,43.590321,24.415003
"2016-01-15",36.341698,60.659164,66.53672,15.549028,43.566189,41.417713,35.929169,34.147232,42.328644,24.004663
"2016-01-19",36.378639,60.650078,66.787987,15.541769,43.55722,41.915089,36.467152,33.727657,41.417435,24.1688
"2016-01-20",36.09227,60.768009,66.201706,15.236882,42.993057,41.391983,35.647751,33.47768,40.319294,23.520464
"2016-01-21",36.295494,60.586601,67.048561,15.171555,43.18111,41.55492,35.614651,33.772274,41.573193,23.701014
"2016-01-22",37.302433,61.548134,68.221085,15.447397,43.55722,42.266647,36.251957,34.379337,43.411205,24.19342
"2016-01-25",36.868256,60.976658,67.439384,15.135254,43.019924,41.889351,35.945717,33.281273,41.386269,24.19342
"2016-01-26",37.228519,61.439293,68.425804,15.389326,43.834831,42.27523,36.194016,33.852627,42.951702,24.408434
"2016-01-27",36.461784,60.740803,67.355659,15.331249,43.342308,42.232357,36.276787,33.584808,42.74921,24.19342
"2016-01-28",36.932915,59.325684,68.221085,15.338511,43.593044,42.661114,36.856155,33.638363,44.049831,23.930803
"2016-01-29",38.096886,60.296326,68.965546,15.766799,44.766148,43.527191,37.592781,34.611462,45.334869,23.955425
"2016-02-01",38.235451,60.387028,69.384308,15.70147,44.658691,43.67297,37.948677,34.754284,44.579418,24.464241
"2016-02-02",37.551857,59.51619,68.034973,15.265918,43.763184,43.115589,38.114216,34.522171,43.091881,24.152388
"2016-02-03",37.505661,59.906254,67.858162,15.280435,44.470638,43.021255,38.585987,35.682743,44.626148,24.177006
"2016-02-04",37.542614,59.579697,67.467293,15.411105,45.240765,42.626804,38.420452,36.673679,44.602787,24.322266
"2016-02-05",36.489502,58.418579,65.289749,15.20785,44.810921,42.558208,38.544601,36.254097,43.566963,23.879921
"2016-02-08",35.962936,57.620312,64.024147,14.823114,44.434814,42.446735,38.412174,35.298855,43.34111,22.614445
"2016-02-09",35.796665,58.046673,63.921783,14.801336,44.703453,42.729713,38.544601,35.736301,42.297497,22.437181
"2016-02-10",35.852093,58.563717,63.810127,14.721487,44.470638,42.678257,38.503216,35.39706,42.126152,22.91317
"2016-02-11",35.778175,57.620312,63.772923,14.27142,43.60199,42.335251,37.824528,34.629311,41.947029,22.338697
"2016-02-12",36.277023,58.391354,64.945442,14.873926,44.479591,42.935509,37.70866,35.655964,43.052933,22.560274
"2016-02-16",36.923676,59.488983,66.518135,15.113479,45.375092,43.278511,37.948677,36.200531,43.481285,22.560274
"2016-02-17",37.681183,60.241886,67.95121,15.316735,46.073582,43.724426,37.874191,36.914715,44.906525,23.266056
"2016-02-18",37.533386,59.869968,67.504539,15.229623,46.046715,43.527191,38.494934,36.80759,44.345783,23.553297
"2016-02-19",37.561092,59.806454,67.690674,15.229623,45.957165,43.595798,38.238358,36.379078,44.244534,23.520464
"2016-02-22",38.059925,60.659164,69.002785,15.469174,46.736252,43.810169,38.685307,37.075413,45.373817,23.881563
"2016-02-23",37.459469,60.205605,68.621231,15.193329,46.270596,43.801605,38.71841,36.164814,43.823967,23.758461
"2016-02-24",37.74585,60.405163,69.02137,15.157037,46.297459,43.938793,38.90049,36.539768,44.267887,23.77816
"2016-02-25",38.21698,61.158092,69.710045,15.367547,46.906399,44.43615,39.297775,37.01292,44.306843,23.930803
"2016-02-26",38.115353,61.049232,69.635567,15.476435,46.969086,43.810169,38.213528,37.548569,44.57164,24.103144
"2016-02-29",37.847469,60.078602,69.272636,15.309477,46.673565,43.664387,38.321121,37.31646,44.065411,24.070322
"2016-03-01",38.974476,61.366722,71.105911,15.824873,47.586983,44.084572,38.13076,38.271675,45.218048,24.644791
"2016-03-02",39.085327,61.466492,71.040756,15.999093,47.622807,44.213211,38.329411,38.119926,46.323967,24.915607
"2016-03-03",39.085327,61.294155,71.459534,16.107975,47.963097,44.43615,38.561157,38.352024,47.024902,24.950079
"2016-03-04",39.186951,61.149021,71.394371,16.173313,48.160099,44.624813,38.991539,38.798397,47.476612,25.022299
"2016-03-07",38.94677,61.638847,71.087273,16.16605,48.303379,44.350399,39.206734,39.244774,48.590321,25.005882
"2016-03-08",38.706593,60.885944,70.528938,15.904722,47.622807,44.479034,39.595741,38.477009,46.549828,24.968134
"2016-03-09",39.039143,60.994808,70.668518,15.926505,47.77504,44.813461,39.777836,38.718056,47.305267,24.891813
"2016-03-10",39.002205,61.031075,70.845322,15.911981,47.7034,44.830605,39.81094,38.923393,47.344212,24.774456
"2016-03-11",39.602646,62.219387,71.934128,16.325754,48.392933,44.976383,39.852318,39.637577,48.566963,25.350565
"2016-03-14",39.648842,61.956364,72.203987,16.274935,48.437706,44.950665,39.901981,39.369743,48.247654,25.432634
"2016-03-15",39.796661,60.994808,72.185379,16.267675,48.410847,45.06213,39.976463,39.45903,48.154194,25.600868
"2016-03-16",40.258537,60.849655,72.771637,16.231386,48.580997,45.165035,40.588951,39.789337,48.987522,25.408012
"2016-03-17",40.406349,60.142097,72.874008,16.427383,49.646633,45.439442,40.81242,40.521378,49.657299,26.258224
"2016-03-18",40.471336,60.849464,72.968361,16.573212,50.07238,45.379967,40.552231,40.688908,49.80006,26.073469
"2016-03-21",40.610611,61.204502,73.005753,16.544044,50.369408,45.405815,40.510548,40.877026,49.627495,25.94091
"2016-03-22",40.619892,61.814465,72.884285,16.493,50.081383,45.13863,40.377125,40.411201,49.352962,25.895342
"2016-03-23",40.387775,61.377499,72.370354,16.369045,49.757355,45.147251,40.677322,39.909531,48.270519,25.800058
"2016-03-24",40.499191,61.350174,72.463799,16.266972,49.613338,45.095535,40.785732,39.909531,48.505836,25.841484
"2016-03-28",40.397068,61.177193,72.790848,16.31801,49.631332,45.336868,40.635616,40.079739,48.24699,26.007183
"2016-03-29",41.028408,61.887291,73.529022,16.347174,49.955376,45.673023,41.236038,40.303699,48.474461,26.570583
"2016-03-30",41.269806,61.8964,73.996254,16.441961,50.045372,45.974697,41.135963,40.482857,48.568588,26.512587
"2016-03-31",41.186241,61.705223,73.912132,16.405508,49.928364,45.73336,41.377785,40.142445,48.545048,26.645144
"2016-04-01",41.501919,62.406216,74.22049,16.551332,50.162392,46.216026,41.536232,40.527653,47.894016,26.700661
