"XLK","XLV","XLY","XLF","XLI","XLP","XLU","XLB","XLE"
37.441399,61.385441,65.703682,17.610182,49.554253,40.394352,37.854313,42.514462,60.123131
36.869846,61.072403,64.447029,17.239891,48.396732,40.110283,37.391506,41.430843,57.635948
36.425293,60.866676,63.804924,16.97641,47.800426,40.060162,37.415447,41.063812,56.789257
36.733753,62.297775,64.813934,17.154446,48.159966,40.745243,37.782486,41.526966,56.910225
37.541199,63.362152,65.786217,17.410799,49.124577,41.363476,38.045826,42.514462,58.187817
37.423256,62.798664,65.024895,17.175804,48.598415,41.029293,37.806435,42.295994,57.726685
36.987782,62.825493,64.676376,17.033386,48.265198,40.90398,37.718658,42.19986,56.063519
36.960564,62.548214,64.676376,16.97641,48.168732,40.895626,37.822399,41.727959,55.617496
36.751907,62.449825,63.896683,16.734303,47.905663,40.770287,38.149551,41.238586,55.79137
36.280144,61.778996,63.071136,16.527794,47.677654,40.837139,38.45277,41.159943,55.08075
36.633972,62.941784,63.905823,16.72718,47.993343,41.162968,38.795891,41.81535,56.872433
36.942417,62.941784,63.538937,16.65597,48.335342,41.330059,38.89164,41.885258,56.940456
37.005939,63.067001,63.951729,16.698696,48.729961,41.530563,39.266659,42.295994,58.097111
37.613777,63.818333,65.153313,17.111713,49.510414,41.948292,39.099106,42.829063,58.369255
37.60471,63.451599,65.061592,16.926569,49.098267,41.48045,39.210808,42.164898,57.953472
37.450481,63.782566,65.40097,17.012024,49.159637,41.48045,39.186874,42.348415,58.785042
36.370869,63.326405,64.878151,16.82687,48.510723,41.00423,39.242733,42.06004,58.747253
36.307365,62.414055,64.034264,16.520674,48.089821,40.528015,38.907593,41.299751,56.433949
36.652115,62.941784,64.905663,16.65597,48.642273,40.853851,39.426258,41.841572,56.622936
36.198498,61.957893,64.199379,16.38537,47.853043,40.118641,38.556503,41.675537,57.114342
36.570457,62.306717,64.777245,16.648851,48.563347,40.594852,38.724056,42.051292,58.860638
36.987782,62.727104,66.153122,16.926569,49.352562,40.954094,38.867702,42.977612,60.470875
37.06036,61.94001,66.593422,16.883844,48.975494,40.97081,38.396912,42.697983,59.472973
37.405106,62.986515,67.006203,17.054743,49.396412,41.179691,38.748013,43.729145,60.327255
37.287167,62.414055,66.905296,17.190044,49.282417,40.995876,37.152134,43.62429,60.342369
37.232738,61.680614,66.648468,17.104589,49.150871,40.68676,36.82497,43.571854,60.402851
37.786152,62.71817,67.464821,17.239891,49.422726,41.162968,37.583008,43.895195,60.372608
37.931286,62.780788,67.483192,17.239891,49.440262,41.355133,36.769112,43.825287,59.949268
38.448429,63.004395,68.281189,17.410799,49.905018,41.547268,36.601543,44.57682,60.735462
38.693382,63.254829,68.69397,17.396555,50.133026,41.355133,36.04298,44.952595,62.020649
38.711517,63.711018,68.538033,17.453522,50.203167,41.363476,36.011078,45.005024,62.209637
38.747807,63.782566,68.50135,17.346708,50.483784,41.589043,36.864864,45.127369,61.468807
38.883896,63.889874,68.712296,17.275497,50.571468,41.321709,36.449932,45.249714,61.181507
39.083492,64.560738,69.198486,17.403667,51.001156,41.438663,36.457909,45.380795,60.886681
39.110706,64.855888,69.134232,17.36095,50.78194,41.555622,36.70528,45.328362,60.637218
39.228642,64.77536,69.46447,17.4464,50.98362,41.697659,36.976574,45.520607,60.803524
38.983688,64.748566,69.996475,17.4464,50.878391,41.555622,36.370148,45.389534,61.13615
39.228642,64.927429,69.776321,17.403667,50.650394,41.614113,36.130768,45.101154,60.002163
39.092552,64.614372,69.684616,17.339584,50.413628,41.781204,36.090862,44.996292,59.737583
39.40102,65.195763,70.51931,17.46776,50.878391,41.8564,35.396656,45.293415,59.321785
39.137917,64.605446,70.326691,17.417917,50.553932,41.697659,35.612099,45.048717,59.541039
38.983688,64.91848,69.959785,17.311098,50.159325,41.405247,35.412624,44.891418,59.457878
38.938328,65.151031,70.005638,17.382309,50.194412,41.547268,35.691887,44.699165,59.102539
38.457489,63.872009,69.170952,17.254133,49.510414,40.736889,34.622662,44.09618,58.044174
38.638939,64.265541,69.565353,17.33246,49.975178,40.962467,34.686485,44.15736,57.628387
37.849659,63.550003,68.482964,16.962177,49.054405,40.37764,34.622662,43.48447,56.827061
37.60471,63.514214,68.106888,17.068987,49.001801,40.068512,34.399235,43.43203,56.993366
37.849659,64.354988,69.491997,17.439281,49.633175,40.653343,35.053551,43.973846,56.630512
37.640987,64.229774,68.94162,17.318224,49.177181,40.335869,34.694458,43.55439,56.418819
38.085541,65.651917,69.748795,17.531845,49.99271,40.828785,35.292919,43.48447,57.182365
38.094608,65.464119,69.363564,17.48913,49.791016,40.536377,35.237064,43.00383,56.963123
38.611732,66.313812,69.978111,17.588818,50.378548,40.812073,36.186611,43.659241,58.618736
38.502865,66.698441,69.877235,17.42503,50.036556,40.628281,35.851482,42.907703,57.688881
38.751541,67.180984,70.6549,17.661623,50.319336,41.137653,36.173969,43.184017,58.537533
38.751541,66.992615,70.535271,17.561554,49.896481,41.204899,36.198097,43.184017,58.33202
38.624016,66.409615,70.167137,17.418604,49.729111,40.969547,35.795986,43.043663,57.943844
37.631084,65.198746,69.025909,17.139853,48.883408,40.868671,35.377789,42.561222,58.697372
37.658409,65.046242,68.593353,17.125553,48.751255,40.692165,35.080223,42.657711,58.628838
37.685745,65.512688,68.943077,17.104115,48.936264,40.944332,35.28933,42.640163,58.149357
38.141212,66.176392,69.651749,17.354279,49.623405,41.356209,35.723602,43.219109,59.397587
37.749504,65.028313,69.34803,17.232765,49.130081,40.969547,35.731647,42.789284,59.047474
37.694855,64.373543,69.044304,17.218473,48.804119,41.019966,35.763821,42.912086,59.032234
37.685745,64.570869,69.660927,17.304239,48.830547,41.297371,35.828156,42.955959,59.154034
38.050125,64.669556,69.992264,17.33283,49.200546,41.625179,36.326775,43.298054,60.219593
37.968128,64.822014,69.605721,17.239918,49.086025,41.431877,35.908581,43.227886,60.257648
38.086544,65.369148,70.259178,17.304239,49.253399,41.499107,35.804031,43.350685,59.770527
38.186764,65.862488,70.323593,17.33283,49.491241,41.616787,35.651226,43.473492,60.729534
38.332516,66.427551,70.562881,17.325687,50.187195,41.692436,35.916615,43.596298,60.995934
38.223202,66.068787,70.176353,17.390013,49.711491,41.499107,35.562767,43.42086,60.387024
38.104782,66.176392,70.139557,17.390013,49.773159,41.591568,35.7397,43.605072,61.475441
38.44183,66.34684,70.139557,17.454338,49.861248,41.473888,35.828156,44.026131,62.944401
38.305183,66.310944,70.277573,17.482933,49.755535,41.625179,35.594933,43.92963,62.799782
37.776833,65.736885,69.237587,17.247065,49.15649,41.238529,35.466263,43.526127,62.343105
38.423603,66.140541,70.001472,17.318535,49.729111,41.381424,35.997047,43.841919,62.579063
38.405388,66.580025,70.075111,17.232765,49.667446,41.457077,35.675354,43.517345,61.916882
38.797089,66.687675,70.139557,17.354279,49.878857,41.482292,35.747738,43.605072,62.327877
